CÓDIGO	NOMBRE	APODO	CANTIDAD	COSTO	PRECIO	COSTO TOTAL	PRECIO TOTAL
46	VASO-4 ONZ CARTON IMPRE X50	4 CARTIMPX50	145	4200	4200	609000	609000
47	VASO-6 ONZ CARTON BLCO X50	6 CARTBX50	146	4900	4900	715400	715400
48	VASO-6 ONZ CARTON IMPREX50	6 CARTIMPX50	147	5600	5600	823200	823200
49	VASO-9 ONZ CARTON IMPREX40	9 CARTIMPX40	148	5600	5600	828800	828800
50	VASO -5 ONZ BLANCOX50 LIDER	5 BLANCOX50	149	1500	1500	223500	223500
51	VASO-5 ONZ COLORX50 LIDER	5 COLORX50	150	1300	1300	195000	195000
52	VASO-7 ONZ VACANX50	7 VACANX50	151	1700	1700	256700	256700
53	VASO-9 ONZ VACANX50	9 VACANX50	152	2600	2600	395200	395200
54	VASO-12 ONZ VACANX50	12 VACANX50	153	3300	3300	504900	504900
55	VASO-7 ONZ TUCX50	7 TUCXJO	154	1800	1800	277200	277200
56	VASO-12 ONZ LITOX25-CAFÉ	12 LITOX25	155	1300	1300	201500	201500
57	PLATO 5 ONZX20 ICOPOR	PLAT 5OZX20	156	1000	1000	156000	156000
58	PLATO 12 ONZX20 ICOPOR	PLAT 12OZX20	157	1500	1500	235500	235500
59	PLATO 16 ONZX20 ICOPOR	PLAT 16OZX20	158	2000	2000	316000	316000
60	PLATO 25 ONZ X20 ICOPOR	PLAT 25OZX20	159	3200	3200	508800	508800
61	PLATO 30 ONZ X20 ICOPOR	PLAT 30OZX20	160	3600	3600	576000	576000
62	PLATO 15.5 CMS X 20 ICOPOR	PLA 15.5 CM	161	1200	1200	193200	193200
63	PLATO 18 CMS X 20 ICOPOR	PLATO 18 CM	162	2000	2000	324000	324000
64	PLATO 20 CMS X 20 ICOPOR	PLATO 20 CM	163	2200	2200	358600	358600
65	PLATO 23 CMS X 20 ICOPOR	PLATO 23 CM	164	2600	2600	426400	426400
66	PLATO 26 CMS X 20 ICOPOR	PLATO 26 CM	165	3200	3200	528000	528000
67	PLATO 15,5 TAMI X 20	P15.5TAMX20	166	1700	1700	282200	282200
68	PLATO 18  TAMI X 20	PLT18TAMX20	167	2600	2600	434200	434200
69	PLATO 23 TAMI X 20	PLT23TAMX20	168	5000	5000	840000	840000
70	PLATO 26 TAMI X 20	PLT25TAMX20	169	5800	5800	980200	980200
71	PLATO 3 DIVIS. NEGRO	PLT3DVNE	170	500	500	85000	85000
72	PLATO 16 ONZ NEGRO	PLT15OZ NEG	171	150	150	25650	25650
73	PLATO 12 ONZ NEGRO	PLT 12OZ NEG	172	130	130	22360	22360
74	PLATO 15.5 COLOR X 12	P15.5CLRX12	173	3900	3900	674700	674700
75	PLATO 16 CMS CRISTALX6	PLT 16CRISX6	174	2600	2600	452400	452400
76	PLATO 23 CMS CRISTAL X 6	PLT23CRISTX6	175	5900	5900	1032500	1032500
77	PETITTE CUADRADO X24	PETTCUADX24	176	8500	8500	1496000	1496000
78	PETITTE CUCHARA X24	PETTCUCHX24	177	8500	8500	1504500	1504500
79	PETITTE VASO X 24	PETTVASOX24	178	12000	12000	2136000	2136000
80	CONTENEDOR 4 ICOPOR X 20	CON.4ICOPX20	179	2500	2500	447500	447500
81	CONTENEDOR 8 ICOPORX20	CON.8ICOX20	180	3800	3800	684000	684000
82	CONTENEDOR12 ICOPOR X20	CON.12ICOX20	181	4300	4300	778300	778300
83	CONTENEDOR 16 ICOPOR X 20	CON.16OZX20	182	6000	6000	1092000	1092000
84	CONTENEDOR .24 ICOPORX20	CON.24OZX20	183	7000	7000	1281000	1281000
85	CONTENEDOR DELI 6 ONZ X 25	DELI60ZX25	184	5800	5800	1067200	1067200
86	CONTENEDOR DELI 8 ONZ X 25	DELI 80ZX25	185	6000	6000	1110000	1110000
87	CONTENEDOR DELI 12 ONZ X 25	DELI12OZX25	186	6500	6500	1209000	1209000
88	CONTENEDOR DELI 16 ONZX25	DFLI160ZX25	187	7900	7900	1477300	1477300
89	CONTENEDOR DELI 24 ONZX25	DELI24OZX25	188	9800	9800	1842400	1842400
90	CONTENEDOR DELI 32 ONZX25	DELI32OZX25	189	10500	10500	1984500	1984500
91	CONTENEDOR BIODEGRA - C1	BIO-C1	190	500	500	95000	95000
92	CONTENEDOR BIODEGRA - P1	BIO-P1	191	800	800	152800	152800
93	PORTACOMIDA - J1 X 20	PORTA-J1X20	192	3800	3800	729600	729600
94	PORTACOMIDA -J2 X 20	PORTA-J2X20	193	3800	3800	733400	733400
95	PORTACOMIDA -P1 X 20	PORTA-P1X20	194	3800	3800	737200	737200
96	PORTACOMIDA -P3 X 20	PORTA-P3X20	195	3800	3800	741000	741000
97	 PORTACOMIDA -B1 X 50	B1 X50	196	6500	6500	1274000	1274000
98	PORTACOMIDA C1 X 50	C1 X50	197	6000	6000	1182000	1182000
99	BANDEJA No.1 X 50	BANDEJA1X50	198	2000	2000	396000	396000
100	BANDEJA No.1-1 X 50	BAND.1-1X50	199	2400	2400	477600	477600
101	BANDEJA No.17 X 50	BAND 17X50	200	3800	3800	760000	760000
102	BANDEJA No. 3 X 50	BAND 3X50	201	3000	3000	603000	603000
103	BANDEJA No. 4 X 50	BAND 4X50	202	6000	6000	1212000	1212000
104	BANDEJA No. 6 X 50	BAND 6X50	203	7000	7000	1421000	1421000
105	BANDEJA No. 7 X 50	BAND 7X50	204	4800	4800	979200	979200
106	BANDEJA No. 8 X 50	BAND 8X50	205	7000	7000	1435000	1435000
107	BANDEJA No. 25 X 25	BAND 25X25	206	8000	8000	1648000	1648000
108	AIRPACK CON PERFORACION.	AIRPACKPERF	207	500	500	103500	103500
109	"MIAMI 8"""	"""MIAMI 8"""""""	208	650	650	135200	135200
110	MINI PACK  L	MINIPACK L	209	500	500	104500	104500
111	"MIAMI 9"""	MIAMI 9	210	450	450	94500	94500
112	MINI PACK M	MINIPACK M	211	300	300	63300	63300
113	MINIPACK S	MINIPACK S	212	250	250	53000	53000
114	CONT.TRIANGULAR 11-7	TRIANG. 11-7	213	250	250	53250	53250
115	CONT.TRIANGULAR 11-5	TRIANG. 11-5	214	250	250	53500	53500
116	COPA VENECIANA 3ONZ X 20	VEN.3OZX20	215	4900	4900	1053500	1053500
117	COPA VENECIANA 5ONZ X 20	VEN.5OZX20	216	5500	5500	1188000	1188000
118	COPA VENECIANA.8ONZX50FLEX	VEN.8OZX50	217	21500	21500	4665500	4665500
119	COPA VENECIANA 8ONZ X 20	VEN.8OZX20	218	9000	9000	1962000	1962000
120	SELLO PLUS 8 ONZAS TAPA PLA.	SELLOPLUS 8	219	350	350	76650	76650
121	SELLO PLUS 8 ONZAS TAPA ALTA	SELLOPLUS8AL	220	400	400	88000	88000
122	SELLO PLUS 12 ONZAS	SELLOPLUS12	221	400	400	88400	88400
123	SELLO PLUS 16 ONZAS	SELLOPLUS16	222	450	450	99900	99900
124	SELLO PLUS 24 ONZAS	SELLOPLUS 24	223	600	600	133800	133800
125	SELLO PLUS 32 ONZAS	SELLOPLUS32	224	700	700	156800	156800
126	SELLO PLUS 48 ONZAS	SELLOPLUS48	225	900	900	202500	202500
127	SELLO PLUS 64 ONZAS	SELLOPLUS64	226	1000	1000	226000	226000
128	PAPEL ALUMINIO 7MTS	ALUMN 7MTS	227	2100	2100	476700	476700
129	 PAPEL ALUMINIO16MTS	ALUMN 16MTS	228	4200	4200	957600	957600
130	PAPEL ALUMINIO 40MTS	ALUM 40MTS	229	8900	8900	2038100	2038100
131	VINIPEL 20 MTS	VINIPEL20MTS	230	1300	1300	299000	299000
132	VINIPEL 50 MTS	VINIPEL50MTS	231	2700	2700	623700	623700
133	VINIPEL 100 MTS	VINIPE100MTS	232	5000	5000	1160000	1160000
134	VINIPEL 200 MTS	VINIPE200MTS	233	10000	10000	2330000	2330000
135	VINIPEL 300 MTS	VINIPE300MTS	234	14500	14500	3393000	3393000
136	VINIPEL 500 MTS	VINIPE500MTS	235	22000	22000	5170000	5170000
137	BOLSA MANIJA 1,5KILOS	BOLSA 1.5KL	236	1600	1600	377600	377600
138	BOLSA MANIJA 2 KILOS	BOLSA 2KL	237	1900	1900	450300	450300
139	BOLSA MANIJA 3 KILOS	BOLSA 3KL	238	2500	2500	595000	595000
140	BOLSA MANIJA 5 KILOS	BOLSA 5KL	239	3400	3400	812600	812600
141	BOLSA MANIJA 10 KILOS	BOLSA 10KL	240	4500	4500	1080000	1080000
142	BOLSA MANIJA 15 KILOS	BOLSA 15KL	241	5100	5100	1229100	1229100
143	BOLSA MANIJA 20 KILOS	BOLSA 20KL	242	6500	6500	1573000	1573000
144	BOLSA MANIJA 25 KILOS	BOLSA 25KL	243	7900	7900	1919700	1919700
145	BOLSA MANIJA 30 KILOS	BOLSA 30KL	244	9500	9500	2318000	2318000
146	BOLSA ALUMINIO-R17	R17	245	2000	2000	490000	490000
147	BOLSA ALUMINIO-R19	R19	246	2300	2300	565800	565800
148	BOLSA ALUMINIO-R21	R21	247	2700	2700	666900	666900
149	BOLSA ALUMINIO-R22	R22	248	2700	2700	669600	669600
150	BOLSA ALUMINIO-R23	R23	249	3000	3000	747000	747000
151	BOLSA ALUMINIO-R25	R25	250	4000	4000	1000000	1000000
152	BOLSA ALUMINIO-R35	R35	251	5200	5200	1305200	1305200
153	BOLSA ALUMINIO-PIZZA	PIZZA	252	4000	4000	1008000	1008000
154	BOLSA CUBIERTOS TRANSP..	BOLSA CUB	253	800	800	202400	202400
155	BOLSA 1/2 LIBRA 	BOLSA 1/2	254	800	800	203200	203200
156	BOLSA 1 LIBRA	BOLSA 1LB	255	1100	1100	280500	280500
157	BOLSA  6X11	BOLA 6X11	256	1600	1600	409600	409600
158	BOLSA  6X14	BOLSA 6X14	257	1700	1700	436900	436900
159	BOLSA  6X16	BOLSA 6X16	258	2000	2000	516000	516000
160	BOLSA  7X10	BOLSA 7X10	259	1600	1600	414400	414400
161	BOLSA  7X12	BOLSA 7X12	260	1700	1700	442000	442000
162	BOLSA  7X14	BOLSA 7X14	261	2100	2100	548100	548100
163	BOLSA  7X16	BOLSA 7X16	262	2400	2400	628800	628800
164	BOLSA  8X12	BOLSA 8X12	263	2400	2400	631200	631200
165	BOLSA  8X14	BOLSA 8X14	264	2500	2500	660000	660000
166	BOLSA  8X16	BOLSA 8X16	265	2800	2800	742000	742000
167	BOLSA  9X14	BOLSA 9X14	266	3000	3000	798000	798000
168	BOLSA  10X16	BOLSA 10X16	267	3900	3900	1041300	1041300
169	BOLSA  12X16	BOLSA 12X16	268	4200	4200	1125600	1125600
170	BOLSA  12X18	BOLSA 12X18	269	4500	4500	1210500	1210500
171	BOLSA  14X20	BOLSA14X20	270	6500	6500	1755000	1755000
172	BOLSA  16X24	BOLSA 16X24	271	7500	7500	2032500	2032500
173	BOLSA - LECHOSA 1/2 LIBRA	LECHOSA 1/2	272	700	700	190400	190400
174	BOLSA - LECHOSA 1 LIBRA.	LECHOSA 1LB	273	900	900	245700	245700
175	BOLSA - LECHOSA  7 X 10	LECHOSA7X10	274	1800	1800	493200	493200
176	BOLSA - LECHOSA 8 X 12	LECHOSA 8X12	275	2100	2100	577500	577500
177	BOLSA - LECHOSA 9 X 14	LECHOSA 9X14	276	2500	2500	690000	690000
178	BOLSA - LECHOSA 10 X 16	LECHOSA10X16	277	3200	3200	886400	886400
179	BOLSA - LECHOSA 12 X 16	LECHOSA12X16	278	3500	3500	973000	973000
180	BOLSA - LECHOSA 12 X 18	LECHOSA12X18	279	3800	3800	1060200	1060200
181	BOLSA - LECHOSA 14 X 20	LECHOSA14X20	280	5000	5000	1400000	1400000
182	BOLSA - LECHOSA 16 X 24	LECHOSA16X24	281	7000	7000	1967000	1967000
183	BOLSA - CLB 5 X 9	CLB 5X9	282	2500	2500	705000	705000
184	BOLSA-CLB 6 X11	CLB 6X11	283	3500	3500	990500	990500
185	BOLSA -CLB3 12 X 18	CLB 12X18	284	25000	25000	7100000	7100000
186	BOLSA -C HERMETICA 4X3	CH 4X3	285	2400	2400	684000	684000
187	BOLSA -CH 5 X 6	CH 5X6	286	2700	2700	772200	772200
188	BOLSA -CH 6 X 9	CH 6X9	287	3200	3200	918400	918400
189	BOLSA -CH 8 X 10	CH 8X10	288	3900	3900	1123200	1123200
190	BOLSA -CH 8 X 14	CH 8X14	289	4200	4200	1213800	1213800
191	BOLSA -CH 10 X 14	CH 10X14	290	4800	4800	1392000	1392000
192	BOLSA -CH 12 X 14	CH 12X14	291	5000	5000	1455000	1455000
193	BOLSA -CH 14 X 14	CH 14X14	292	5500	5500	1606000	1606000
194	BOLSA -CH 14 X18	CH 14X18	293	7800	7800	2285400	2285400
195	BOLSA-CH 14 X 22	CH 14X22	294	10000	10000	2940000	2940000
196	BOLSA-CH 15 X 20	CH 15X20	295	9500	9500	2802500	2802500
197	BOLSA -CH 18 X 22	CH 18X22	296	11000	11000	3256000	3256000
198	BOLSA -CH 20 X 24	CH 20X24	297	13000	13000	3861000	3861000
199	BOLSA -CH 20 X 30	CH 20X30	298	18500	18500	5513000	5513000
200	BOLSA -CH 25 X 36	CH25X36	299	26000	26000	7774000	7774000
201	BOLSA -CH 30 X 40	CH 30X40	300	30000	30000	9000000	9000000
202	BOLSA  PAPEL-KRAFT 1/2	KRAFT 1/2	301	1300	1300	391300	391300
203	BOLSA PAPEL -KRAFT 1 LB	KRAFT 1	302	1800	1800	543600	543600
204	BOLSA PAPEL -KRAFT 2 LB	KRAFT 2	303	2300	2300	696900	696900
205	BOLSA PAPEL -KRAFT 3 LB.	KRAFT 3	304	2900	2900	881600	881600
206	BOLSA PAPEL -KRAFT 4 LB.	KRAFT 4	305	3500	3500	1067500	1067500
207	BOLSA PAPEL -KRAFT 6 LB	KRAFT 6	306	4700	4700	1438200	1438200
208	BOLSA PAPEL -KRAFT 12 LB	KRAFT 12	307	6800	6800	2087600	2087600
209	BOLSA PAPEL -KRAFT 25 LB	KRAFT 25	308	12500	12500	3850000	3850000
210	BOLSA TIPOD X 7	TIPO DX7	309	1700	1700	525300	525300
211	BOLSA -TIPO C X 7	TIPO CX7	310	2200	2200	682000	682000
212	BOLSA -TIPO A1 X 7	TIPO A1X7	311	3200	3200	995200	995200
213	BOLSA - TIPO A X 7	TIPO AX7	312	3700	3700	1154400	1154400
214	BOLSA -TIPO B1 X 7	TIPO BX7	313	5000	5000	1565000	1565000
215	BOLSA -TIPO E X 7	TIPO EX7	314	8000	8000	2512000	2512000
216	BOLSA -TIPO E2 X 7	TIPO E2X7	315	8000	8000	2520000	2520000
217	BOLSA -TIPO A1 X 7 BLANCA	A1X7BLCA	316	3700	3700	1169200	1169200
218	BOLSA -TIPO B1 X 7 BLANCA	B1X7BLACA	317	5300	5300	1680100	1680100
219	BOLSA-TIPO E2 X7 BLANCA	E2X7BLCA	318	8500	8500	2703000	2703000
220	BOLSA COLOR 40X60X7	40X60X7	319	2200	2200	701800	701800
221	BOLSA COLOR 65X87X7	65X85X7	320	3700	3700	1184000	1184000
222	BOLSA NEGRA DE 1X120X5	1X120X5NEG29	321	5500	5500	1765500	1765500
223	BOLSA COLOR DE 1X120X5	1X120X25COLR	322	6500	6500	2093000	2093000
224	CUCHARITA TAMI BLANCA X100	C/ITATAMI100	323	1800	1800	581400	581400
225	CUCHARITA TAMI ROJA X100	C/ITAROJA100	324	2200	2200	712800	712800
226	CUCHARITA TAMI AZUL X100	C/ITAAZUL100	325	2200	2200	715000	715000
227	TENEDOR TAMI BLANCA X 100	TENE BCOX100	326	1800	1800	586800	586800
228	TENEDOR TAMI ROJA X 100	TEN ROJOX100	327	2200	2200	719400	719400
229	TENEDOR TAMI AZUL X 100	TEN AZULX100	328	2200	2200	721600	721600
230	CUCHARA TAMI BLANCA X 100	CU BLCAX100	329	4400	4400	1447600	1447600
231	TENEDOR TAMI BLANCO X 100	TENE BCOX100	330	4400	4400	1452000	1452000
232	CUCHILLO TAMI BLANCO X 100	CU BCOX100	331	4400	4400	1456400	1456400
233	TENEDOR TAMI BLANCO X 20	TEN BCOX20	332	1200	1200	398400	398400
234	CUCHILLO TAMI BLANCO X20	CU BLCOX20	333	1200	1200	399600	399600
235	CUCHARA TAMI BLANCA X 20	CUCHA BCOX20	334	1200	1200	400800	400800
236	CUCHARITA CRISTAL X 20	C/ITACRISX20	335	1600	1600	536000	536000
237	TENEDOR CRISTAL-NEGRO X100	TEN CRISX100	336	7800	7800	2620800	2620800
238	CUCHILLO CRISTAL -NEG.X100	CU CRISX100	337	7800	7800	2628600	2628600
239	CUCHARA CRISTAL-NEGRO X100	CU CRISX100	338	7800	7800	2636400	2636400
240	TENEDOR CRISTALX20	TEN CRISX20	339	2200	2200	745800	745800
241	CUCHILLO CRISTAL X20	CU CRISX20	340	2200	2200	748000	748000
242	CUCHARA CRISTAL X20	CU CRISX20	341	2200	2200	750200	750200
243	TENEDOR COLOR X 20	TEN COLORX20	342	2200	2200	752400	752400
244	CUCHILLO COLOR X 20	CU COLORX20	343	2200	2200	754600	754600
245	CUCHARA COLOR X 20	CU COLORX20	344	2200	2200	756800	756800
246	CUCHARITA PSM X 100	C/ITAPSMX100	345	2300	2300	793500	793500
247	CUCHARA PSM X 100	CU PSMX100	346	3500	3500	1211000	1211000
248	TENEDOR PSM X 100	TEN PSMX100	347	3500	3500	1214500	1214500
249	CUCHILLO PSM X 100	CU PSMX100	348	3500	3500	1218000	1218000
250	TENEDOR PSM X 20	TEN PSMX20	349	1200	1200	418800	418800
251	CUCHILLO PSM X 20	C/LLOPSMX20	350	1200	1200	420000	420000
252	CUCHARA PSM X 20	CU PSMX20	351	1200	1200	421200	421200
253	TENEDOR RUMBA X 10	TE RUMBAX10	352	5000	5000	1760000	1760000
254	CUCHARA RUMBA X 10	C/RA RUMBX10	353	5000	5000	1765000	1765000
255	CUCHILLO RUMBA X 10	C/LLORUMBX10	354	5000	5000	1770000	1770000
256	PLATO ICOPOR 12CMS X 20	PLATO12CX20	355	1000	1000	355000	355000
257	TARRO PEQUEÑO	TARRO PEQUE	356	1500	1500	534000	534000
258	TARRO GRANDE	TARRO GRANDE	357	4000	4000	1428000	1428000
259	DOMO CIRCULAR 33X12	DOMCIRC33X12	358	2200	2200	787600	787600
260	DOMO ALTA VISIBILIDAD 28X12	DOMALTV28X12	359	2200	2200	789800	789800
261	BASE RECTANGULAR  34X145X12	BAS34X145X12	360	1500	1500	540000	540000
262	BASE RECTANGULAR  21X16X12	B.RE21X16X12	361	1200	1200	433200	433200
263	DOMO No.6 BANDEJA No.17	D.No6 B.No17	362	400	400	144800	144800
264	DOMO No.6 BANDEJA No.25	D.No6 B.25	363	2200	2200	798600	798600
265	DOBLE USO TAPA	DBL USO TAPA	364	300	300	109200	109200
266	BASE RECTANGULAR 20,5X12	BAREC20.5X12	365	900	900	328500	328500
267	DOMO No.3 BANDEJA No. 1	D.No3C B.No1	366	200	200	73200	73200
268	TWISE	T WISE	367	400	400	146800	146800
269	CORAZON PEQUEQ.	CORA ZONE P	368	300	300	110400	110400
270	CORAZON GRANDE	CORAZONE GDS	369	400	400	147600	147600
271	BASE CIRCULAR 17X6	BA CIRBU17X6	370	1200	1200	444000	444000
272	DOMO No.6 BANDEJA No.3	DNo6 BAU.No3	371	900	900	333900	333900
273	DOMO PLATO 12 ONZ.	D PLAT 12OZ	372	1000	1000	372000	372000
274	CONTENEDOR ALTA VISIB. 24 ONZ	CON ALT 24OZ	373	800	800	298400	298400
275	DOMO PLATO 23 ONZ	DOM PLAT23OZ	374	1200	1200	448800	448800
276	DOMO PLATO 3 DIV.NEGRO	DOM PLA3DIV	375	1200	1200	450000	450000
277	FLIPACK PAR	FLIPACK PEQ	376	900	900	338400	338400
278	FLIPACK PAR GRANDE	FLIPACK GDE	377	6000	6000	2262000	2262000
279	DOMO CIRCULAR 25,5 X 5	DOMCIR25.5X5	378	1500	1500	567000	567000
280	DOMO REDONDO PLATO 15.5	DOM PLAT15.5	379	500	500	189500	189500
281	CONTENEDOR PARIS	CONTEN PARIS	380	350	350	133000	133000
282	ENSALADERA FRUTAS X25 CON TAPA	ENSA FRUTX25	381	10000	10000	3810000	3810000
283	BANANERAS X 15	BANANERASX15	382	2500	2500	955000	955000
284	SOBRECOPA PQTE	SOBRE COPA	383	10000	15000	3830000	5745000
285	VASO 3 ONZA MINI RUMBA X 12	VS 300ZRMX12	384	5000	5000	1920000	1920000
286	COPA VINO RUMBA X 8	CP VIN RMX8	385	8500	8500	3272500	3272500
287	COPA PREMIUN X 12	COPAPREMIX12	386	13000	13000	5018000	5018000
288	COPA VINO X 20 PQTE 	COPA VINX20	387	5000	5000	1935000	1935000
289	TOALLA DE MANO NATURAL X150	TOALLA NATUR	388	5500	5500	2134000	2134000
290	TOALLA DE MANO BLANCO X 10	TOALLA B/CO	389	6500	6500	2528500	2528500
291	WYPALL X 70	WPALL X 70	390	36000	36000	14040000	14040000
292	WYPALL X 80	WPALL X80	391	48000	48000	18768000	18768000
293	FAVORITA X 320	FAVORITA 320	392	2200	2200	862400	862400
294	TISSU X 100	TISSY X100	393	1600	1800	628800	707400
295	FAMILIA DECORADA X 100	FAM DECX100	394	3500	3500	1379000	1379000
296	CAFETERA X 100	CAFETE X 100	395	1800	1900	711000	750500
297	FAMILIA 1 A 1   X 100	1 A 1 X100	396	1600	1600	633600	633600
298	SUAVE GOLD X 40	SUAVEGOLDX40	397	3300	3300	1310100	1310100
299	SUAVE GOLD X 200	SUAVEGOLX200	398	13000	13000	5174000	5174000
300	FAMILIA X 450	FAMILIAX450	399	3400	3400	1356600	1356600
301	TOALLA DE MANO COLTISU	TOALL COLTI	400	4500	4500	1800000	1800000
302	MULTIUSOS X 2	MULTIUSOSX2	401	7900	8500	3167900	3408500
303	PRACTIDIARIAS X 2	PRACTIDIAX2	402	4000	4000	1608000	1608000
304	ACOLCHAMAS X 1	ACOLCHAMASX1	403	2000	2000	806000	806000
305	PALO PINCHO 15 X100	PINCHO15X100	404	2000	2000	808000	808000
306	PALO PINCHO 20 X100	PINCHO20X100	405	2000	2000	810000	810000
307	PALO PINCHO 25 X100	PINCHO25X100	406	2700	2700	1096200	1096200
308	PINCHUZO 25CMS X 100	PIN/ZO25X100	407	2700	2700	1098900	1098900
309	PINCHUZO 30 CMS X 100	PIN/ZO30X100	408	3200	3200	1305600	1305600
310	PALILLO DOBLE PUNTA PANDA	PALILLO PAND	409	600	600	245400	245400
311	PALILLO DOBLE PUNTA  BBQ	PALILLO BB	410	1300	1500	533000	615000
312	PALILLO DECORADO COCTEL	PALILLO COCT	411	1300	1300	534300	534300
313	FOSFOROS X 2	FOSFOROX2	412	2000	2000	824000	824000
314	PALO PALETA X100	PALOPALEX100	413	1300	1300	536900	536900
315	LASANA 16 ONZAS PERSONAL	LASAGNA 160Z	414	300	300	124200	124200
316	MOLDE 24 ONZAS	MOLDE 24OZ	415	450	450	186750	186750
317	MOLDE 28 ONZAS	MOLDE 28 OZ	416	500	500	208000	208000
318	MOLDE JUNIOR	JUNIOR	417	250	250	104250	104250
319	LECHE ASADA	LECHE ASADA	418	200	200	83600	83600
320	MUFFIS PEQUENOS	MUFFIS P	419	200	200	83800	83800
321	MUFFIS CON TAPA	MUFF CON TAP	420	500	500	210000	210000
322	MOLDE MUFFIS	MOLDE MUFFIS	421	2500	2500	1052500	1052500
323	MEZCLADOR CAJA X 1000 DARNEL	MEZCLA CAJA	422	3900	3900	1645800	1645800
324	PITILLO CAJA  7 3/4	CA PITI 73/4	423	7500	7500	3172500	3172500
325	PITILLO FLEXIBLE NEON Y RAYADO	PITILLO NEON	424	1500	1500	636000	636000
326	PITILLO CARTON X 41	PITILLO CART	425	6500	6500	2762500	2762500
327	PITILLO ECO X 40 BOLSA	PITILLO ECO	426	3500	3500	1491000	1491000
